NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
55;1;29;1:28.579;0;;36.560;0;24.109;0;27.910;0;104.7;1:05:25.395;16:19:25.395;0:36.560;0:24.109;0:27.910;;Jake HUGHES;;;;Maserati MSG Racing;STELLANTIS;;false;false;
55;1;30;1:29.048;0;;36.653;0;24.142;0;28.253;0;104.1;1:06:54.443;16:20:54.443;0:36.653;0:24.142;0:28.253;;Jake HUGHES;;;;Maserati MSG Racing;STELLANTIS;;false;false;
55;1;31;1:28.128;0;;36.339;0;23.675;0;28.114;0;105.2;1:08:22.571;16:22:22.571;0:36.339;0:23.675;0:28.114;;Jake HUGHES;;;;Maserati MSG Racing;STELLANTIS;;false;false;
55;1;32;1:27.476;0;;36.608;0;23.560;0;27.308;0;106.0;1:09:50.047;16:23:50.047;0:36.608;0:23.560;0:27.308;;Jake HUGHES;;;;Maserati MSG Racing;STELLANTIS;;false;false;
55;1;33;1:26.959;0;;36.127;0;23.369;0;27.463;0;106.6;1:11:17.006;16:25:17.006;0:36.127;0:23.369;0:27.463;;Jake HUGHES;;;;Maserati MSG Racing;STELLANTIS;;false;false;
55;1;34;1:27.193;0;;37.356;0;23.041;0;26.796;0;106.3;1:12:44.199;16:26:44.199;0:37.356;0:23.041;0:26.796;;Jake HUGHES;;;;Maserati MSG Racing;STELLANTIS;;false;true;
55;1;35;1:24.412;2;;35.314;2;22.659;2;26.439;2;109.8;1:14:08.611;16:28:08.611;0:35.314;0:22.659;0:26.439;;Jake HUGHES;;;;Maserati MSG Racing;STELLANTIS;;false;true;
55;1;36;1:26.392;0;;36.732;0;22.807;0;26.853;0;107.3;1:15:35.003;16:29:35.003;0:36.732;0:22.807;0:26.853;;Jake HUGHES;;;;Maserati MSG Racing;STELLANTIS;;false;true;
55;1;37;1:29.862;0;;36.513;0;24.323;0;29.026;0;103.2;1:17:04.865;16:31:04.865;0:36.513;0:24.323;0:29.026;;Jake HUGHES;;;;Maserati MSG Racing;STELLANTIS;;false;true;
7;1;1;2:15.919;0;;1:10.898;0;31.155;0;33.866;0;68.2;2:15.919;15:16:15.919;1:10.898;0:31.155;0:33.866;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;false;
7;1;2;1:39.988;0;;41.946;0;26.753;0;31.289;0;92.7;3:55.907;15:17:55.907;0:41.946;0:26.753;0:31.289;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;false;
7;1;3;1:39.943;0;;40.121;0;27.104;0;32.718;0;92.8;5:35.850;15:19:35.850;0:40.121;0:27.104;0:32.718;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;false;
7;1;4;3:27.836;0;;44.944;0;30.421;0;2:12.471;0;44.6;9:03.686;15:23:03.686;0:44.944;0:30.421;2:12.471;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;false;
7;1;5;1:41.025;0;;43.988;0;26.920;0;30.117;0;91.8;10:44.711;15:24:44.711;0:43.988;0:26.920;0:30.117;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;false;
7;1;6;1:32.991;0;;40.420;0;24.106;0;28.465;0;99.7;12:17.702;15:26:17.702;0:40.420;0:24.106;0:28.465;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;true;
7;1;7;1:30.740;0;;37.882;0;24.951;0;27.907;2;102.2;13:48.442;15:27:48.442;0:37.882;0:24.951;0:27.907;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;true;
7;1;8;1:30.873;0;;37.553;0;24.697;0;28.623;0;102.0;15:19.315;15:29:19.315;0:37.553;0:24.697;0:28.623;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;true;
7;1;9;1:31.113;0;;37.972;0;24.350;0;28.791;0;101.7;16:50.428;15:30:50.428;0:37.972;0:24.350;0:28.791;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;false;
7;1;10;1:30.095;2;;37.572;0;24.085;2;28.438;0;102.9;18:20.523;15:32:20.523;0:37.572;0:24.085;0:28.438;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;false;
7;1;11;1:30.583;0;;37.524;2;24.366;0;28.693;0;102.3;19:51.106;15:33:51.106;0:37.524;0:24.366;0:28.693;;Maximilian GÜNTHER;;;;DS PENSKE;STELLANTIS;;false;false;
8;1;1;2:19.244;0;;1:14.009;0;31.446;0;33.789;0;66.6;2:19.244;15:16:19.244;1:14.009;0:31.446;0:33.789;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;2;1:41.044;0;;41.529;0;27.803;0;31.712;0;91.7;4:00.288;15:18:00.288;0:41.529;0:27.803;0:31.712;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;3;1:37.652;0;;39.107;0;26.382;0;32.163;0;94.9;5:37.940;15:19:37.940;0:39.107;0:26.382;0:32.163;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;4;3:26.342;0;;44.995;0;32.258;0;2:09.089;0;44.9;9:04.282;15:23:04.282;0:44.995;0:32.258;2:09.089;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;5;1:39.179;0;;43.571;0;25.971;0;29.637;0;93.5;10:43.461;15:24:43.461;0:43.571;0:25.971;0:29.637;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;6;1:32.340;0;;39.059;0;24.555;0;28.726;0;100.4;12:15.801;15:26:15.801;0:39.059;0:24.555;0:28.726;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;7;1:33.631;0;;39.286;0;25.132;0;29.213;0;99.0;13:49.432;15:27:49.432;0:39.286;0:25.132;0:29.213;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;8;1:32.513;0;;39.705;0;24.280;0;28.528;0;100.2;15:21.945;15:29:21.945;0:39.705;0:24.280;0:28.528;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;9;1:31.017;0;;37.661;0;24.464;0;28.892;0;101.8;16:52.962;15:30:52.962;0:37.661;0:24.464;0:28.892;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;10;1:30.484;0;;37.585;0;24.455;0;28.444;0;102.4;18:23.446;15:32:23.446;0:37.585;0:24.455;0:28.444;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;11;1:29.472;0;;37.329;0;24.220;0;27.923;0;103.6;19:52.918;15:33:52.918;0:37.329;0:24.220;0:27.923;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;12;1:29.335;0;;37.196;0;24.132;0;28.007;0;103.8;21:22.253;15:35:22.253;0:37.196;0:24.132;0:28.007;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;13;2:45.908;0;B;42.671;0;57.818;0;1:05.419;0;55.9;24:08.161;15:38:08.161;0:42.671;0:57.818;1:05.419;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;14;17:36.964;0;;15:00.296;0;30.167;0;2:06.501;0;8.8;41:45.125;15:55:45.125;15:00.296;0:30.167;2:06.501;;Sam BIRD;0:14:28.250;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;15;1:35.350;0;;41.743;0;24.784;0;28.823;0;97.2;43:20.475;15:57:20.475;0:41.743;0:24.784;0:28.823;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;16;1:31.028;0;;38.604;0;24.233;0;28.191;0;101.8;44:51.503;15:58:51.503;0:38.604;0:24.233;0:28.191;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;17;1:33.742;0;;37.784;0;26.862;0;29.096;0;98.9;46:25.245;16:00:25.245;0:37.784;0:26.862;0:29.096;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;18;1:28.960;0;;37.181;0;23.888;0;27.891;0;104.2;47:54.205;16:01:54.205;0:37.181;0:23.888;0:27.891;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;19;1:28.944;0;;38.069;0;23.674;0;27.201;0;104.2;49:23.149;16:03:23.149;0:38.069;0:23.674;0:27.201;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;true;
8;1;20;1:25.675;0;;35.637;0;23.322;0;26.716;0;108.2;50:48.824;16:04:48.824;0:35.637;0:23.322;0:26.716;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;true;
8;1;21;1:26.971;0;;36.907;0;23.167;0;26.897;0;106.6;52:15.795;16:06:15.795;0:36.907;0:23.167;0:26.897;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;true;
8;1;22;1:28.206;0;;36.550;0;23.720;0;27.936;0;105.1;53:44.001;16:07:44.001;0:36.550;0:23.720;0:27.936;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;23;1:35.117;0;B;36.473;0;23.764;0;34.880;0;97.5;55:19.118;16:09:19.118;0:36.473;0:23.764;0:34.880;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;24;2:14.099;0;;1:23.025;0;23.653;0;27.421;0;69.1;57:33.217;16:11:33.217;1:23.025;0:23.653;0:27.421;;Sam BIRD;0:00:55.635;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;25;1:27.380;0;;36.473;0;23.486;0;27.421;0;106.1;59:00.597;16:13:00.597;0:36.473;0:23.486;0:27.421;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;26;1:27.132;0;;36.042;0;23.629;0;27.461;0;106.4;1:00:27.729;16:14:27.729;0:36.042;0:23.629;0:27.461;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;27;1:27.713;0;;36.750;0;23.679;0;27.284;0;105.7;1:01:55.442;16:15:55.442;0:36.750;0:23.679;0:27.284;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;28;1:27.469;0;;36.575;0;23.443;0;27.451;0;106.0;1:03:22.911;16:17:22.911;0:36.575;0:23.443;0:27.451;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;29;1:26.361;0;;36.119;0;23.161;0;27.081;0;107.3;1:04:49.272;16:18:49.272;0:36.119;0:23.161;0:27.081;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;30;1:25.955;0;;35.665;0;23.206;0;27.084;0;107.8;1:06:15.227;16:20:15.227;0:35.665;0:23.206;0:27.084;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;31;1:27.246;0;;36.973;0;23.312;0;26.961;0;106.3;1:07:42.473;16:21:42.473;0:36.973;0:23.312;0:26.961;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;32;1:25.349;0;;35.651;0;22.868;0;26.830;0;108.6;1:09:07.822;16:23:07.822;0:35.651;0:22.868;0:26.830;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;33;1:25.749;0;;37.649;0;22.193;0;25.907;2;108.1;1:10:33.571;16:24:33.571;0:37.649;0:22.193;0:25.907;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;true;
8;1;34;1:23.297;0;;34.597;2;22.348;0;26.352;0;111.3;1:11:56.868;16:25:56.868;0:34.597;0:22.348;0:26.352;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;true;
8;1;35;1:23.253;2;;35.234;0;22.036;2;25.983;0;111.3;1:13:20.121;16:27:20.121;0:35.234;0:22.036;0:25.983;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;true;
8;1;36;1:25.207;0;;35.248;0;23.018;0;26.941;0;108.8;1:14:45.328;16:28:45.328;0:35.248;0:23.018;0:26.941;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;true;
8;1;37;1:25.001;0;;35.668;0;22.773;0;26.560;0;109.1;1:16:10.329;16:30:10.329;0:35.668;0:22.773;0:26.560;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
8;1;38;1:26.007;0;;35.999;0;22.981;0;27.027;0;107.8;1:17:36.336;16:31:36.336;0:35.999;0:22.981;0:27.027;;Sam BIRD;;;;NEOM McLaren Formula E Team;NISSAN;;false;false;
9;1;1;2:31.554;0;;1:22.382;0;33.698;0;35.474;0;61.2;2:31.554;15:16:31.554;1:22.382;0:33.698;0:35.474;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;2;1:40.029;0;;41.084;0;26.656;0;32.289;0;92.7;4:11.583;15:18:11.583;0:41.084;0:26.656;0:32.289;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;3;1:37.086;0;;39.179;0;26.556;0;31.351;0;95.5;5:48.669;15:19:48.669;0:39.179;0:26.556;0:31.351;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;4;3:16.915;0;;42.486;0;33.546;0;2:00.883;0;47.1;9:05.584;15:23:05.584;0:42.486;0:33.546;2:00.883;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;5;1:40.936;0;;45.255;0;26.317;0;29.364;0;91.8;10:46.520;15:24:46.520;0:45.255;0:26.317;0:29.364;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;true;
9;1;6;1:31.602;0;;39.029;0;24.328;0;28.245;0;101.2;12:18.122;15:26:18.122;0:39.029;0:24.328;0:28.245;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;true;
9;1;7;1:31.703;0;;37.790;0;24.842;0;29.071;0;101.1;13:49.825;15:27:49.825;0:37.790;0:24.842;0:29.071;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;true;
9;1;8;1:32.740;0;;39.547;0;24.667;0;28.526;0;100.0;15:22.565;15:29:22.565;0:39.547;0:24.667;0:28.526;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;9;1:30.679;0;;37.868;0;24.175;0;28.636;0;102.2;16:53.244;15:30:53.244;0:37.868;0:24.175;0:28.636;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;10;1:30.646;0;;37.780;0;24.229;0;28.637;0;102.3;18:23.890;15:32:23.890;0:37.780;0:24.229;0:28.637;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;11;1:29.524;0;;37.729;0;23.819;0;27.976;0;103.5;19:53.414;15:33:53.414;0:37.729;0:23.819;0:27.976;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;12;1:29.203;0;;37.244;0;23.774;0;28.185;0;103.9;21:22.617;15:35:22.617;0:37.244;0:23.774;0:28.185;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;13;2:47.391;0;B;43.477;0;58.957;0;1:04.957;0;55.4;24:10.008;15:38:10.008;0:43.477;0:58.957;1:04.957;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;14;17:35.301;0;;14:59.656;0;29.546;0;2:06.099;0;8.8;41:45.309;15:55:45.309;14:59.656;0:29.546;2:06.099;;Mitch EVANS;0:14:28.156;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;15;1:43.555;0;B;42.536;0;25.470;0;35.549;0;89.5;43:28.864;15:57:28.864;0:42.536;0:25.470;0:35.549;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;16;2:14.560;0;;1:25.374;0;22.694;2;26.492;2;68.9;45:43.424;15:59:43.424;1:25.374;0:22.694;0:26.492;;Mitch EVANS;0:00:57.153;;;Jaguar TCS Racing;JAGUAR;;false;true;
9;1;17;1:28.664;0;;38.488;0;23.407;0;26.769;0;104.6;47:12.088;16:01:12.088;0:38.488;0:23.407;0:26.769;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;true;
9;1;18;1:26.161;2;;35.856;2;22.885;0;27.420;0;107.6;48:38.249;16:02:38.249;0:35.856;0:22.885;0:27.420;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;true;
9;1;19;1:28.308;0;;36.636;0;23.838;0;27.834;0;105.0;50:06.557;16:04:06.557;0:36.636;0:23.838;0:27.834;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;20;1:28.409;0;;36.463;0;23.903;0;28.043;0;104.9;51:34.966;16:05:34.966;0:36.463;0:23.903;0:28.043;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
9;1;21;2:00.268;0;B;37.659;0;24.662;0;57.947;0;77.1;53:35.234;16:07:35.234;0:37.659;0:24.662;0:57.947;;Mitch EVANS;;;;Jaguar TCS Racing;JAGUAR;;false;false;
